10	0	0	0
100	1	0	0
200	0	0	0
500	2	1	0
1000	0	2	0
2000	2	3	1
5000	9	10	1
10000	21	8	0
20000	46	2	1
50000	263	8	1
100000	961	16	1
200000	3549	36	2
500000	20131	100	5
